"id","title","description","ai_description"
"04c55996","Don't","My very first poem I'm putting on here...please be kind and review.",""
"a3c61871","Interworld","<div class=""hidden-content"">\n <p>\n  In\n </p>\n</div>\n",""
"846da652","The One and Many","<div class=""hidden-content"">\n</div>\n",""
"f5121b41","well well well","<div class=""hidden-content"">\n</div>\n",""
"37358da7","Thread of Reality","<div class=""hidden-content"">\n <p>\n  Being able to do impossible acts and strange things with these 'threads' for Rej was easy. From the second of his birth, to the end of his life, he was the most talented of all on Earth, and too much talent brings out the worst of surrounding people.\n </p>\n <p>\n  Outcast, cold, loner, and more were words that usually were used to describe Rej as a child as jealousy and other negative emotions came easily to people since he almost never had any trouble with anything as Rej learned everything at about 10x the rate of a genius of geniuses.\n </p>\n <p>\n  But because of his isolation, and lack of human interaction, he was helpless in the matter of how actual people thought like. But, Rej was also pure as because of his thirst of knowledge, he knew that people couldn't help with these emotions and decided to become the one that people would admire.\n </p>\n <p>\n  Rej would be the one to help others and bring happiness to others even at his own expense, but he only did these things on a whim as they also brought a smile to his face, so he wasn't a complete saint as he was human and also had his own desires. But he was immortal, and was only mortal to his own intent, so everyone knew the outcome of Rej being depressed and bored with life after a few thousand years of boredom.\n </p>\n <p>\n  But with his own death, and the death of his own mind, a new mind was made with the same soul as the core. This new mind also had experienced the experiences of the soul but responded with different wants and needs to those memories and decided to act not as a person to admire, but one did whatever he wanted and would sometimes be called a monster and sometimes called a savior those who were lucky and unlucky. Although, there might be more unlucky as this was a newborn mind who only had a moment of life before experiencing this soul.\n </p>\n <p>\n  ...\n </p>\n <p>\n  ...\n </p>\n <p>\n  If one was to truly do what they wanted, they would be called both the lord and the devil, as their emotions and wants dictated their logic, and those who truly do what they want, have the power to change all at a whims notice. As many people want, Cud will do, the wanting resulting in the doing of controlling time on a whim.\n </p>\n <p>\n  ...\n </p>\n <p>\n  <span style=""color: #ffcc00"">\n   (Although the way I wrote this seems like someone who is actually being serious with their writing of someone who can control everything, it's not, as I'm not going to be serious and just do what I want with this. So if\n   <strong>\n    <em>\n     you\n    </em>\n   </strong>\n   want to run away with this concept, you\n   <em>\n    can\n   </em>\n   , just don't copy and paste...please...)\n  </span>\n </p>\n <p>\n  <span style=""color: #3366ff"">\n   (Also the picture is not owned by me so if you own it and want me to change it, you can tell me)\n  </span>\n </p>\n</div>\n",""
"779fa091","The First Story? By RavenKing","<div class=""hidden-content"">\n this story is about a young man would one day become legend\n <br/>\n story will have mature themes\n</div>\n",""
"95b06b2d","Where the Roads Go","<div class=""hidden-content"">\n</div>\n",""
"a3ab054f","The Legend of JaWal by WarWalker","<div class=""hidden-content"">\n <p>\n  Jason Walker was nothing. His family was an entire ruin. His father left him when he was little and his mother can't be called a mother. His entire life he was mocked by his schoolmates or ignored. No one really liked him.\n </p>\n <p>\n  All this got even worse when the game RoyalRoad came out. He couldn't afford it and so the mockery got worse. Even some teachers mocked him because of it. A democracy where teachers should help their students? What a joke.\n </p>\n <p>\n  But wheels of fate had different objectives. What will happen to Jason as he discovers an entire new site of himself?\n </p>\n</div>\n",""
"8092ad16","A Second Life by Creepaz","<div class=""hidden-content"">\n</div>\n",""
"64268378","Admin Test","<div class=""hidden-content"">\n <div>\n  This is a description. The best description ever.\n </div>\n</div>\n",""
"35a90986","One Fool's Playing by Pavel","<div class=""hidden-content"">\n This fanfic may be removed at the convenience of the author as stated in the actual works. I apologize for the inconvenience, but it is the author's right to do so and there for if you complain I will have to ignore you and lodge it in the ignore category of my brain.\n <br/>\n <br/>\n BTW, I love this guy's character type! &lt;3 Elf with blue skin? That's so cool. ^^ Elf="""""""" with="""""""" blue="""""""" skin?="""""""" That's="""""""" so="""""""" cool.=""""""""&gt;3 Elf with blue skin? That's so cool. ^^&gt;\n</div>\n",""
"3745f45e","The Right Hand Of God by Chimeara18","<div class=""hidden-content"">\n In a virtual world where you can be anything you want to be, what do you dream of becoming? Dan Roberts has always been small, weak and self-conscious about his lack of courage, so when he heard about the release of the worlds first immersive virtual reality game called Royal Road, he saw an opportunity to remake himself. The only problem was he had no idea where to start!\n</div>\n",""
"395c3170","A Second Reality by Masadeer","<div class=""hidden-content"">\n It's the begining of a new adventure! Or so he had thought until he actually started the game. WTH?! Why is it so... boring? Isn't this just like the past? Alf has done the same thing repeatedly everyday in RR and finally found some fun (?) in rolling in the grasses, only to somehow become... a cloud knight? wait, back up a minute! that doesn't make sense! WTH?\n</div>\n",""
